Tweet,HatespeechOrNot (Expert 1),HatespeechOrNot (Expert 2),Hatespeech
"#rapefugees #refugeeswelcome Bürger bewaffnet euch, die Fachkräfte tun das auch. Und die zögern nicht, diese einzusetzen. Better he than me",YES,YES,1
"Bin mir sicher es gibt Pläne bei #merkel #klöckner und #spd, deutschen nach dem 01.1. das Wahlrecht zu nehmen und es #asylanten zu geben",NO,NO,0
Ich zahle in einem christlichen Land jeden Monat ne Menge Kirchensteuer.Wofür?Damit ich immer mehr Muezzin-Rufe höre! #asyl #Islamisierung,NO,NO,1
"Raum der Stille"""" an der TU Dortmund zeigt im Kleinen auf, wie es in absehbarer Zukunft ganz Deutschland ergehen wird. #islamisierung",NO,NO,0
#illner Bartsch weiss schon mehr. Aus Jemen kommt die nächste Flüchtlingswelle. Hilfe #islamisierung überall!,NO,NO,0
#Kretschmann #Gruene #Maas #SPD  Pistorius #SPD Die eigenen Landsleute vorverurteilen +beschuldigen+jetzt schweigen #Handgranate #Asylanten,NO,NO,0
Es gibt keine #rapefugees,NO,NO,0
#fakt #ard. 90 jähriger wird Taxifahrt verweigert. #asylanten werden egal wie weit kutschiert! ich hasse #merkel mittlerweile!,NO,NO,0
"Wir müssen die Fluchtursachen bekämpfen"""" RICHTIG!  Dampft endlich die opulenten Leistungen für nicht anerkannte #Asylanten ein!",NO,NO,0
Woher kommen überhaupt die #Migranten in #Griechenland? Sicherlich sind sie keine #Syrer. Aus #Pakistan? oder #Indien? #Rapefugees #Paki,NO,NO,1
"Wer NICHT grenzenlose unkontrollierte Zuwanderung, #Islamisierung, Sicherheitseinbußen & #Kuscheljustiz mit #Migrantenbonus will, wählt #AfD",NO,YES,1
"#Merkel wird in die Geschichte eingehen als Kanzlerin,die Bürgerkrieg in D schürte, #Islamisierung D beschleunigte+Sozialsysteme ruinierte!!",NO,NO,0
#asylanten Wirtschaftsverbände stehen hinter Merkel-klar-pro Jahr+0 Mio Konsumenten.Arbeit billig.Die Kasse klingelt. Bezahlung garantiert,NO,NO,0
"#Flüchtlinge & ´#Asylanten  sind perverse #Kinderschänder die jeden Tag in #Deutschland, skrupelos #Frauen & #Kinder vergewaltigen.",YES,YES,1
"NEIN! Ist eine klare Aussage,und bedarf weder einer Erklärung noch einer Begründung! #Rapefugees #Köln #Hamburg #Kiel",YES,NO,0
Visafreiheit mit #türkei bringt uns hunderttausende neue #asylanten.#erdogan zerbombt Kurdengebiete damit sie nach D fliehen.#merkel versagt,NO,NO,0
"dt. Umfrage machen und fragen,was #Pegida heißt.Wie wissen, was es und gegen #Islamisierung heißt? Deutsche aufwachen!",NO,NO,0
Bei jedem Auftritt eines #Asylanten oder Migranten kommt diese gespielte Hysterie der Sozis. Die realisieren so langsam ihren Machtverlust.,NO,NO,0
Gesetzesvorschlag: Vasektomie als Strafe für Vergewaltiger #rapefugees #refugees #vergewaltigung #rape,NO,YES,1
#hartaberfair oh Mann ich glaubs einfach nicht.Wann wacht D endlich auf! Völlig isoliert.Alle habens kapiert #islamisierung stoppen!,YES,NO,1
hallo #Hessen ! geht zur #Kommunalwahl stimmt FÜR EURE #HEIMAT #DEUTSCHLAND #AfD #Widerstand #Fluechtlinge stoppt #Merkel #Islamisierung,NO,NO,0
"Die Nato, das Militärbündnis, prüft einen Einsatz gegen SCHLEPPER. #Flüchtlinge #Rapefugees #Einzelfall #Krimigranten #whitegenocide",NO,NO,1
#AnneWill Die #Merkel schafft sich ab. Sie labert nur Mist! #refugees #refugeesNOTwelcome #refugeesgohome #Merkelmussweg,NO,NO,0
#rapefugees raus aus Preußen!,YES,YES,1
"von einem Turkmenen sexuell missbraucht, x-mal minderjährige Mädchen von #rapefugees sexuell belästigt. #Kiel 0001! #islam #sophienhof [0/0]",YES,YES,1
"#hjartaberfair #Österreich will Sozialsysteme mit #Asylanten nicht überlasten. Korrekt, was D nicht begreift und Bürgern schadet",NO,NO,1
"#Diebstahl,#Einbruch,#sexuelle Übergriffe v. #Migranten -wird #verschwiegen,nicht #bestraft -bei #Scharia wird bei Diebstahl Hand abschlagen",NO,YES,1
#Bayern droht Imamen: Bei Werbung für #Scharia und gegen #Verfassung  bis 10 000 Euro #Bußgeld. #Integrationsgesetz. #CSU #Fluechtlinge,NO,NO,1
Gute #Opfer von #Krimigranten & #Rapefugees zeigen Straftaten nicht an. Das würde nur den #Rechten nützen. Nur als Tip für die #Gutmenschen.,NO,YES,1
"Wer Millionen #asylanten will,wählt links. wer nicht #afd. und #cdu? hm,kann man Millionen #asylanten gleichzeitig wollen und nicht wollen?",NO,NO,0
"Kaum kommen weniger #Invasoren über die Balkanroute, schon dürfen 00 Mio #Muslime aus der Türkei ohne Visum rein in die EU. #Islamisierung",YES,NO,0
#fluechtling Was macht eigentlich der Araber in der Sache? Er will die #asylanten nicht haben! Aber wir sollen sie sollen wir aufnehmen!!!,NO,NO,1
"Ab jetzt heißt es nicht mehr Leben, sondern Überleben!#Köln #Kiel #rapefugees",NO,NO,1
"Es scheint als steigt die Zahl patriotischer Europäer, die keinen Bock auf #Islamisierung haben. Eigentlich alle, außer #Merkel-Deutschland.",NO,NO,0
"Bestätigte Sexualdelikte von #rapefugees sind viel zu brisant siehe Vergewaltigungsrate Schweden,deswegen lieber #hoax für Honks! #abmerkeln",YES,YES,1
"#IS-#Sympathisant aus #Darmstadt,#Werbe-#Video für #Terrormiliz -für derart gnadenlose #Mitbürger d.v. ihnen gewünschte #Scharia anwenden",NO,YES,1
"Immer sehr lustig, wenn #Pegida als #Fremdenfeindlich dargestellt wird ! Für alle #Linken Steinewerfer: Pegida ist gegen die #Islamisierung!",NO,NO,1
#Asylanten wollen die #EU fluten.Und ich bin sicher alle #Flüchtlinge auf der Welt machen sich Stück für Stück auf den Weg! 10Mio.#afd #cdu,NO,NO,0
also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert,YES,YES,1
"Wer mit dem Begriff #rapefugees Hetze gleichsetzt,will einfach nur Realität verdrängen oder bewusst totschweigen! #SolidaritätmitKolja",YES,YES,1
"#Clausnitz erinnert immer mehr an #Handgranate u #Lageso-Toten.#Asylanten provozieren,niemand kommt zu Schaden, #besorgteGutmenschen heulen",NO,NO,0
"Wer #SPD und #Grüne wählt, bekommt #Islam und #Scharia in Deutschland und #islamisten tolerieren keine Minderheiten  Daher #AfD",YES,NO,1
"liebe Frau #Merkel, die Aufforderung #Asylanten unbegrenzt aufnehmen zu wollen wird sich im laufe der Zeit rächen......nee nicht mit mir",NO,NO,0
War grade wieder ein hart verdienten Kaffee an ner Tankstelle trinken da kamen gut gebaute #Asylanten rein und kauften Bier und Zigaretten,NO,NO,0
****W I D E R S T A N D  G E G E N   I S L A M I S I E R U N G**** #Bautzen #Clausnitz #rapefugees #cologne #koelnhbf #Germany #NOISLAM #SOS,NO,NO,0
"Was würden #Gutmenschen sagen, wenn Christen/Europäer massenweise nach Arabien einwandern würden? #Islamisierung",YES,NO,1
#koelnhbf gab es Opferbashing #Clausnitz gibt es Mitleid und #clausnitz0000 + schöne Wohnungen für #asylanten. Das ist #deutschland,NO,NO,0
EU-Kommission wertet die #Asylanten-#Obergrenzen Österreichs als illegal. #SPÖ-#ÖVP-Bundesregierung ignoriert EU-Recht.  #Amtsmißbrauch?,NO,NO,0
"Dt. #Bevölkerung arbeitet für die musl.Migr.,damit dt. #wirtschaft Druck auf Reallöhne aufrechterhalten kann.#islamisierung wird akzeptiert!",NO,NO,0
"Bin gester 0 #Asylanten begegnet beide voll bis oben hin,kamen aus #Afghanistan saufen scheinbar täglich gegen die Langeweile #Fluechtlinge",NO,NO,0
Und ich garantiere man kann auf Dauer keine #Wohnortpflicht für #Asylanten in Deutschland vorschreiben.Völliger Unsinn und nur Kosmetik.#afd,NO,NO,0
Tränengas gegen Flüchtlinge  Ob man es in #imzentrum oder hier benutzt dank #Rapefugees - da gibt's keinen Unterschied - benehmen sich nicht,YES,NO,0
In Deutschland kostet die Betreuung eines unbegleiteten minderjährigen #Asylanten je nach Bundesland zwischen 10- 10.000€ im Jahr #ltwbw01,NO,NO,0
"Die 0.000.000 Einheimischen, die in Österreich an der Armutsgrenze leben, dürfen nicht durch die Integration der #Asylanten geopfert werden.",NO,NO,0
"Die Tussi war voll naiv. Nimmt südländische Männer im Auto über die Grenze, wundert sich dann das es illegale #Asylanten sind. #Domian",NO,YES,1
#cdu will Mindestlohn für #asylanten aussetzen. dann nehmen asylanten deutschen Arbeit weg weil sie billig sind! #afd wählen. #merkelmussweg,NO,NO,0
"#Asylanten #Sonntagsstammtisch #Stückl: """"Wir müssen das schaffen"""". Frage: Was und warum ist zu schaffen?! Islamisierung der #BRD, oder was?!",YES,NO,1
"Ahaa, jetzt auf einmal sind #Flüchtlinge DOCH ein potentielles #Risiko für die #Wirtschaft (neben dem #Brexit) #eudssr #brddr #rapefugees",YES,NO,1
#Merkel hat keinen Plan B sagt sie bei #annewill. Vielleicht wäre Plan B endlich mal Realpolitik in Fragen #Asylanten #Flüchtlinge zu machen,NO,NO,1
EU #Grüne wollen Europa mit #asylanten fluten und steuerzahler ausbluten lassen. Diese Partei gehört verboten!,NO,NO,0
"Kein Fußball den Faschisten"""" aber auch keine #Regierung für Idioten.Kritiker einer #islamisierung als Nazis diffamieren,ist Linksfaschismus",NO,NO,0
"Anstatt man Milliarden gegen die #Armut in #Deutschland einsetzt ,steckt man lieber den #Asylanten und d.Türkei das Geld in den Arsch!?",NO,YES,1
"Schuldige an dem „Flüchtlingsdrama“ konnte endlich identifiziert werden, die Russen sind Schuld, sagt Merkel! #Asylanten #Merkel #BRD",NO,NO,0
#Flüchtlinge #Asylanten #Stop #Köln #Vergewaltigungen #Aufschrei #Kriminalität #CDU #SPD #Merkel weg #Wahl #AfD #Grenzen zu #Lügenpresse,NO,NO,0
Asylpaket 0..Alles Pseudo Vorschläge um die kommenden Wahlen zu beeinflussen..#Merkel mehr Schein als sein!!! #asylanten,NO,NO,0
#SternTV 01.00.01 soeben sofort weggezappt! Lügensendung hoch 00! #Sachsen wissen was sie tun! #refugeesnotwelcome,NO,NO,0
Es gibt keine Alternative zur #AfD. Die #AfD ist die einzige Alternative! #Fluechtlinge #koelnhbf #Islamisierung,NO,NO,0
"Die #Industrie hofft ja immer noch auf den #Facharbeiter unter den #Refugees. Ja, die Hoffnung stirbt zuletzt. #refugeesNOTwelcome",NO,NO,0
#annewill Ja Kriminalität von #rapefugees wird natürlich mit einem Satz behandelt. Thema erledigt.Kriminalität ist ja auch nur explodiert!,NO,NO,0
"Altparteien kommt Sturm an #Rosenmontag wie gerufen. Lässt sich gut als Vorwand verkaufen, da es sonst weitere  #Rapefugees Fälle gäbe. #AfD",NO,NO,0
"Eine alte Schachtel zeigt freundliches Gesicht,damit Horden von #Rapefugees ihre hässlichen Gesichter -oder andere Körperteile- zeigen.#Kiel",NO,YES,1
"Die Geschichte wird Merkel recht geben"""" - falsch - Die Geschichte wird über Merkel richten! #abferkeln #refugeesnotwelcome",NO,NO,0
Die Täter des #Kieler-Mobs haben die bisherige Höchststrafe bekommen: #Hausverbot! #Kiel #Rapefugees #Flüchtlinge,YES,NO,1
#dasduell. #göring-eckardt will 0 Mio neue #asylanten. #kauder auch. schwarz grün im vormarsch. prost mahlzeit. #afd wirkt,NO,NO,0
#Sexuallkunde für #Flüchtlinge und #Migranten ... #Mama #Merkel bringt #Asylanten das ficken bei ... #Vergewaltigungen funktionieren bereits,YES,YES,1
"Zwei Dutzend Männer"""" eine übliche Anzahl für muslimische rape gangs über ungläubige Schlampen herzufallen.#rapejihad #rotherham #rapefugees",YES,YES,1
"Vorhin hat jemand gefragt, wie es mit der #Islamisierung Deutschlands wohl noch weitergeht?  Na, #Erdogan wird auch noch #Bundeskanzler.",YES,NO,1
schweizer firmenchefin verlangt das man #asylanten einstellt.   klar auf 0 schweizer mit 1000 CHF lohn kann man 1 asylanten für 0k anstellen,NO,NO,0
#Merkel lässt sich heute wieder von #annewill i.d. #ard präsentieren. Unwidersprochen darf sie ihre verfehlte #Asylanten-Poltik verbreiten.,NO,NO,0
"Also ich finde, Europa ist sich einig wie noch nie:  #refugeesnotwelcome, eine tanzt dabei aus der Reihe und merkelt sich gerade ab.",NO,NO,0
#dieanstalt #flüchtlinge und #Asylanten benötigen Schwimmpass bei Grenzübertritt ... Rückführung übers #Mittelmeer geplant muhaaaa,YES,YES,1
Die Regierung hat nichts im Griff. Das gibt hoffentlich ein Denkzettel bei den nächsten Wahlen! #refugees #refugeesNOTwelcome #abmerkeln,NO,NO,1
"Das gerechte in #Deutschland ist ja, dass nicht nur #Juden, sondern auch #Christen verfolgt werden. #WirSchaffenDas #Merkel #Islamisierung",NO,NO,1
"#radikaler #Imam in #Dänemark ruft z #Steinigung v #Frauen auf -was wäre,riefen wir auf,alle #Imame in #Europa nach #Scharia zu #steinigen?",NO,NO,0
Wo ist das Problem? Für Moslems ist es doch schon legal... #MakeRapeLegal #rapefugees,YES,NO,1
"Simone #Peter hat seit 7 Monaten und weit über 0 Mio. #Asylanten, noch keinerlei Konzept, wie der Zuzug begrenzt werden kann. #BerlinDirekt",NO,NO,0
"Bin gespannt auf #onebillionrising. Hoffentlich hat den #rapefugees keiner gesteckt, daß es dort ordentlich Grabschmaterial gibt.",YES,NO,1
"#kipping ist so dumm! wenn #asylanten Wohnungen kriegen + verpflegung all incl + taschengeld + krankenkarte für umme, kommen immer mehr!",NO,NO,0
Zukünft. #CDU Wähler aus #MEA marodieren auf Merkels Wunsch mordend u vergewaltigend durchs Land aber eine #Islamisierung findet nicht statt,YES,YES,1
